"df.ind"	"df.values"
"154"	"LINC01356"	7.12506786137581
"155"	"AL137856.1"	7.12506786137581
"156"	"DENND2C"	7.12506786137581
"157"	"CD101"	7.12506786137581
"158"	"AL445231.1"	7.12506786137581
"159"	"AL139420.1"	7.12506786137581
"160"	"LINC01780"	7.12506786137581
"161"	"ADAM30"	7.12506786137581
"162"	"AC245008.1"	7.12506786137581
"163"	"AC244453.2"	7.12506786137581
"164"	"PPIAL4F"	7.12506786137581
"165"	"TXNIP"	7.12506786137581
"166"	"LINC02804"	7.12506786137581
"167"	"AC245100.6"	7.12506786137581
"168"	"NUDT4B"	7.12506786137581
"169"	"AC242988.1"	7.12506786137581
"170"	"CA14"	7.12506786137581
"171"	"ANXA9"	7.12506786137581
"172"	"AL589765.7"	7.12506786137581
"173"	"AL589765.5"	7.12506786137581
"174"	"AL589765.6"	7.12506786137581
"175"	"LINGO4"	7.12506786137581
"176"	"AQP10"	7.12506786137581
"177"	"SHE"	7.12506786137581
"178"	"AC234582.2"	7.12506786137581
"179"	"AL355388.3"	7.12506786137581
"180"	"HAPLN2"	7.12506786137581
"181"	"AL590666.3"	7.12506786137581
"182"	"AL590666.4"	7.12506786137581
"183"	"AL590666.5"	7.12506786137581
"184"	"NTRK1"	7.12506786137581
"185"	"FCRL2"	7.12506786137581
"186"	"OR10K1"	7.12506786137581
"187"	"AL590560.5"	7.12506786137581
"188"	"KCNJ9"	7.12506786137581
"189"	"AL139011.1"	7.12506786137581
"190"	"ARHGAP30"	7.12506786137581
"191"	"CFAP126"	7.12506786137581
"192"	"AL592295.3"	7.12506786137581
"193"	"AL590408.1"	7.12506786137581
"194"	"RXRG"	7.12506786137581
"195"	"LRRC52"	7.12506786137581
"196"	"RCSD1"	7.12506786137581
"197"	"ADCY10"	7.12506786137581
"198"	"SELL"	7.12506786137581
"199"	"LINC01142"	7.12506786137581
"200"	"FMO3"	7.12506786137581
"201"	"AL021026.1"	7.12506786137581
"202"	"MYOC"	7.12506786137581
"203"	"C1orf105"	7.12506786137581
"204"	"ANKRD45"	7.12506786137581
"205"	"KIAA0040"	7.12506786137581
"206"	"AL591043.2"	7.12506786137581
"207"	"BRINP2"	7.12506786137581
"208"	"RALGPS2"	7.12506786137581
"209"	"AXDND1"	7.12506786137581
"210"	"AL160286.2"	7.12506786137581
"211"	"AL158011.1"	7.12506786137581
"212"	"AL713852.1"	7.12506786137581
"213"	"OCLM"	7.12506786137581
"214"	"ERVMER61-1"	7.12506786137581
"215"	"RGS13"	7.12506786137581
"216"	"LINC01724"	7.12506786137581
"217"	"CFHR3"	7.12506786137581
"218"	"CFHR1"	7.12506786137581
"219"	"CFHR2"	7.12506786137581
"220"	"AL365258.1"	7.12506786137581
"221"	"PTPRC"	7.12506786137581
"222"	"LINC00862"	7.12506786137581
"223"	"ASCL5"	7.12506786137581
"224"	"IGFN1"	7.12506786137581
"225"	"NFASC"	7.12506786137581
"226"	"CR1"	7.12506786137581
"227"	"MIR29B2CHG"	7.12506786137581
"228"	"LINC02767"	7.12506786137581
"229"	"LAMB3"	7.12506786137581
"230"	"AL590101.1"	7.12506786137581
"231"	"LPGAT1-AS1"	7.12506786137581
"232"	"AL360091.1"	7.12506786137581
"233"	"AC092803.3"	7.12506786137581
"234"	"AL590648.2"	7.12506786137581
"235"	"ESRRG"	7.12506786137581
"236"	"LINC01653"	7.12506786137581
"237"	"AL360093.1"	7.12506786137581
"238"	"AC096642.2"	7.12506786137581
"239"	"AL445423.1"	7.12506786137581
"240"	"AL392172.2"	7.12506786137581
"241"	"LINC02765"	7.12506786137581
"242"	"LEFTY1"	7.12506786137581
"243"	"ITPKB-AS1"	7.12506786137581
"244"	"AL353689.2"	7.12506786137581
"245"	"LINC02809"	7.12506786137581
"246"	"AL353593.3"	7.12506786137581
"247"	"AL670729.2"	7.12506786137581
"248"	"AL118511.4"	7.12506786137581
"249"	"AL391832.4"	7.12506786137581
"250"	"LINC01348"	7.12506786137581
"251"	"EDARADD"	7.12506786137581
"252"	"LGALS8-AS1"	7.12506786137581
"253"	"AL358176.4"	7.12506786137581
"254"	"AL365184.2"	7.12506786137581
"255"	"AL365184.1"	7.12506786137581
"256"	"AL359764.2"	7.12506786137581
"257"	"PLD5"	7.12506786137581
"258"	"AL606534.2"	7.12506786137581
"259"	"NLRP3"	7.12506786137581
"260"	"OR2B11"	7.12506786137581
"261"	"OR2G6"	7.12506786137581
"262"	"AC098483.1"	7.12506786137581
"263"	"AL672291.1"	7.12506786137581
"264"	"AC092159.2"	7.12506786137581
"265"	"AC116609.1"	7.12506786137581
"266"	"TRAPPC12-AS1"	7.12506786137581
"267"	"AC010907.2"	7.12506786137581
"268"	"LINC01248"	7.12506786137581
"269"	"LINC01247"	7.12506786137581
"270"	"AC104794.5"	7.12506786137581
"271"	"AC062028.1"	7.12506786137581
"272"	"AC099344.2"	7.12506786137581
"273"	"MYCNOS"	7.12506786137581
"274"	"GACAT3"	7.12506786137581
"275"	"AC079145.1"	7.12506786137581
"276"	"AC012074.1"	7.12506786137581
"277"	"ADGRF3"	7.12506786137581
"278"	"KCNK3"	7.12506786137581
"279"	"AC013472.1"	7.12506786137581
"280"	"AGBL5-AS1"	7.12506786137581
"281"	"PLB1"	7.12506786137581
"282"	"NLRC4"	7.12506786137581
"283"	"BIRC6-AS1"	7.12506786137581
"284"	"AC019127.1"	7.12506786137581
"285"	"AC020594.1"	7.12506786137581
"286"	"AC017050.1"	7.12506786137581
"287"	"AC079352.1"	7.12506786137581
"288"	"VIT"	7.12506786137581
"289"	"RMDN2-AS1"	7.12506786137581
"290"	"AC016995.1"	7.12506786137581
"291"	"AC007684.2"	7.12506786137581
"292"	"LINC01913"	7.12506786137581
"293"	"LINC01819"	7.12506786137581
"294"	"AC093702.1"	7.12506786137581
"295"	"LINC01119"	7.12506786137581
"296"	"AC073283.1"	7.12506786137581
"297"	"KCNK12"	7.12506786137581
"298"	"STON1-GTF2A1L"	7.12506786137581
"299"	"NRXN1"	7.12506786137581
"300"	"AC007743.1"	7.12506786137581
"301"	"VRK2"	7.12506786137581
"302"	"AC007381.1"	7.12506786137581
"303"	"AC107081.4"	7.12506786137581
"304"	"LINC02576"	7.12506786137581
"305"	"AC012370.2"	7.12506786137581
"306"	"LINC01798"	7.12506786137581
"307"	"LINC01797"	7.12506786137581
"308"	"AC007422.1"	7.12506786137581
"309"	"PLEK"	7.12506786137581
"310"	"CLEC4F"	7.12506786137581
"311"	"AC092653.1"	7.12506786137581
"312"	"AC073046.3"	7.12506786137581
"313"	"AC073263.1"	7.12506786137581
"314"	"AC005041.4"	7.12506786137581
"315"	"AC005041.3"	7.12506786137581
"316"	"DQX1"	7.12506786137581
"317"	"TACR1"	7.12506786137581
"318"	"AC005034.6"	7.12506786137581
"319"	"CD8A"	7.12506786137581
"320"	"AC092651.3"	7.12506786137581
"321"	"ASTL"	7.12506786137581
"322"	"VWA3B"	7.12506786137581
"323"	"AC092168.3"	7.12506786137581
"324"	"AC016738.2"	7.12506786137581
"325"	"AC093894.2"	7.12506786137581
"326"	"AC018730.1"	7.12506786137581
"327"	"AC010884.1"	7.12506786137581
"328"	"AC108058.1"	7.12506786137581
"329"	"AC018878.1"	7.12506786137581
"330"	"RGPD4-AS1"	7.12506786137581
"331"	"EDAR"	7.12506786137581
"332"	"SH3RF3-AS1"	7.12506786137581
"333"	"AC074387.1"	7.12506786137581
"334"	"AC068491.2"	7.12506786137581
"335"	"IL37"	7.12506786137581
"336"	"LINC01191"	7.12506786137581
"337"	"THORLNC"	7.12506786137581
"338"	"SCTR"	7.12506786137581
"339"	"AC068282.2"	7.12506786137581
"340"	"GPR17"	7.12506786137581
"341"	"RAB6C"	7.12506786137581
"342"	"AMER3"	7.12506786137581
"343"	"TUBA3D"	7.12506786137581
"344"	"GPR39"	7.12506786137581
"345"	"AC114763.2"	7.12506786137581
"346"	"LINC02631"	7.12506786137581
"347"	"AC009951.6"	7.12506786137581
"348"	"TEX41"	7.12506786137581
"349"	"KIF5C"	7.12506786137581
"350"	"LYPD6"	7.12506786137581
"351"	"LINC01818"	7.12506786137581
"352"	"KCNJ3"	7.12506786137581
"353"	"AC073225.1"	7.12506786137581
"354"	"ACVR1C"	7.12506786137581
"355"	"AC019186.1"	7.12506786137581
"356"	"LY75"	7.12506786137581
"357"	"PLA2R1"	7.12506786137581
"358"	"LINC02478"	7.12506786137581
"359"	"DPP4"	7.12506786137581
"360"	"GCA"	7.12506786137581
"361"	"MYO3B-AS1"	7.12506786137581
"362"	"AC007405.1"	7.12506786137581
"363"	"LINC01124"	7.12506786137581
"364"	"GAD1"	7.12506786137581
"365"	"AC104088.1"	7.12506786137581
"366"	"AC016737.1"	7.12506786137581
"367"	"AC092162.2"	7.12506786137581
"368"	"AC074286.1"	7.12506786137581
"369"	"TTN"	7.12506786137581
"370"	"CERKL"	7.12506786137581
"371"	"AC133106.1"	7.12506786137581
"372"	"AC013439.2"	7.12506786137581
"373"	"ASDURF"	7.12506786137581
"374"	"AC005540.1"	7.12506786137581
"375"	"STAT4"	7.12506786137581
"376"	"AC096647.1"	7.12506786137581
"377"	"LINC01790"	7.12506786137581
"378"	"LINC01827"	7.12506786137581
"379"	"AC068544.2"	7.12506786137581
"380"	"AC010746.2"	7.12506786137581
"381"	"BOLL"	7.12506786137581
"382"	"AC016746.1"	7.12506786137581
"383"	"AC007272.1"	7.12506786137581
"384"	"KIAA2012"	7.12506786137581
"385"	"KIAA2012-AS1"	7.12506786137581
"386"	"AC080075.1"	7.12506786137581
"387"	"GPR1-AS"	7.12506786137581
"388"	"AC007879.2"	7.12506786137581
"389"	"AC096772.1"	7.12506786137581
"390"	"AC083900.1"	7.12506786137581
"391"	"PTH2R"	7.12506786137581
"392"	"ERBB4"	7.12506786137581
"393"	"AC068051.1"	7.12506786137581
"394"	"AC007563.4"	7.12506786137581
"395"	"CXCR2"	7.12506786137581
"396"	"CATIP-AS2"	7.12506786137581
"397"	"CATIP-AS1"	7.12506786137581
"398"	"IHH"	7.12506786137581
"399"	"AC053503.2"	7.12506786137581
"400"	"INHA"	7.12506786137581
"401"	"AC013476.1"	7.12506786137581
"402"	"AC073052.2"	7.12506786137581
"403"	"CCL20"	7.12506786137581
"404"	"AC019130.1"	7.12506786137581
"405"	"ECEL1"	7.12506786137581
"406"	"PRSS56"	7.12506786137581
"407"	"AC013726.1"	7.12506786137581
"408"	"AC005538.3"	7.12506786137581
"409"	"AC105760.1"	7.12506786137581
"410"	"AC107079.1"	7.12506786137581
"411"	"LINC02610"	7.12506786137581
"412"	"AC012485.1"	7.12506786137581
"413"	"AC016999.1"	7.12506786137581
"414"	"AC017028.1"	7.12506786137581
"415"	"AC017028.2"	7.12506786137581
"416"	"AC093585.1"	7.12506786137581
"417"	"AC005237.1"	7.12506786137581
"418"	"AC104841.1"	7.12506786137581
"419"	"AC131097.2"	7.12506786137581
"420"	"AC087430.1"	7.12506786137581
"421"	"CNTN4"	7.12506786137581
"422"	"CAV3"	7.12506786137581
"423"	"SLC6A11"	7.12506786137581
"424"	"AC066580.1"	7.12506786137581
"425"	"MKRN2OS"	7.12506786137581
"426"	"TMEM40"	7.12506786137581
"427"	"AC093496.1"	7.12506786137581
"428"	"AC090952.1"	7.12506786137581
"429"	"C3orf20"	7.12506786137581
"430"	"AC010727.1"	7.12506786137581
"431"	"SATB1"	7.12506786137581
"432"	"AC116096.1"	7.12506786137581
"433"	"AC092422.1"	7.12506786137581
"434"	"AC099535.2"	7.12506786137581
"435"	"GADL1"	7.12506786137581
"436"	"AC099332.1"	7.12506786137581
"437"	"CCDC13-AS1"	7.12506786137581
"438"	"CXCR6"	7.12506786137581
"439"	"LRRC2"	7.12506786137581
"440"	"TMEM89"	7.12506786137581
"441"	"AC137630.1"	7.12506786137581
"442"	"CCDC36"	7.12506786137581
"443"	"MST1R"	7.12506786137581
"444"	"GNAT1"	7.12506786137581
"445"	"CACNA2D2"	7.12506786137581
"446"	"TLR9"	7.12506786137581
"447"	"ASB14"	7.12506786137581
"448"	"AC093928.1"	7.12506786137581
"449"	"AC116036.2"	7.12506786137581
"450"	"C3orf67"	7.12506786137581
"451"	"AC126121.3"	7.12506786137581
"452"	"AC093418.1"	7.12506786137581
"453"	"THOC7-AS1"	7.12506786137581
"454"	"AC092040.1"	7.12506786137581
"455"	"FOXP1-AS1"	7.12506786137581
"456"	"AC097634.2"	7.12506786137581
"457"	"AC096970.1"	7.12506786137581
"458"	"AC112219.2"	7.12506786137581
"459"	"PDZRN3-AS1"	7.12506786137581
"460"	"OR5H14"	7.12506786137581
"461"	"ST3GAL6-AS1"	7.12506786137581
"462"	"IMPG2"	7.12506786137581
"463"	"AC020651.1"	7.12506786137581
"464"	"LINC02085"	7.12506786137581
"465"	"C3orf52"	7.12506786137581
"466"	"SIDT1"	7.12506786137581
"467"	"AC093010.2"	7.12506786137581
"468"	"ZBTB20-AS5"	7.12506786137581
"469"	"UPK1B"	7.12506786137581
"470"	"ADPRH"	7.12506786137581
"471"	"POPDC2"	7.12506786137581
"472"	"ARGFX"	7.12506786137581
"473"	"CSTA"	7.12506786137581
"474"	"AC092902.4"	7.12506786137581
"475"	"ALG1L"	7.12506786137581
"476"	"ALDH1L1"	7.12506786137581
"477"	"CHST13"	7.12506786137581
"478"	"AL449214.1"	7.12506786137581
"479"	"AC080005.1"	7.12506786137581
"480"	"LINC01565"	7.12506786137581
"481"	"AC112484.5"	7.12506786137581
"482"	"EFCC1"	7.12506786137581
"483"	"ACPP"	7.12506786137581
"484"	"ACKR4"	7.12506786137581
"485"	"AC010207.1"	7.12506786137581
"486"	"IL20RB-AS1"	7.12506786137581
"487"	"ESYT3"	7.12506786137581
"488"	"RBP1"	7.12506786137581
"489"	"AC110716.2"	7.12506786137581
"490"	"AC108727.1"	7.12506786137581
"491"	"PLSCR2"	7.12506786137581
"492"	"AC092979.2"	7.12506786137581
"493"	"HLTF-AS1"	7.12506786137581
"494"	"TM4SF18"	7.12506786137581
"495"	"AC108751.4"	7.12506786137581
"496"	"LINC01213"	7.12506786137581
"497"	"LINC01214"	7.12506786137581
"498"	"SUCNR1"	7.12506786137581
"499"	"P2RY1"	7.12506786137581
"500"	"LINC02006"	7.12506786137581
"501"	"STRIT1"	7.12506786137581
"502"	"VEPH1"	7.12506786137581
"503"	"LXN"	7.12506786137581
"504"	"AC080013.4"	7.12506786137581
"505"	"SPTSSB"	7.12506786137581
"506"	"AC128685.1"	7.12506786137581
"507"	"LINC01192"	7.12506786137581
"508"	"LINC02023"	7.12506786137581
"509"	"ZBBX"	7.12506786137581
"510"	"WDR49"	7.12506786137581
"511"	"AC026353.1"	7.12506786137581
"512"	"AC078795.2"	7.12506786137581
"513"	"SEC62-AS1"	7.12506786137581
"514"	"AC073288.2"	7.12506786137581
"515"	"AC008180.2"	7.12506786137581
"516"	"AC117465.1"	7.12506786137581
"517"	"AC090425.2"	7.12506786137581
"518"	"AC092939.1"	7.12506786137581
"519"	"LINC02053"	7.12506786137581
"520"	"AC069431.1"	7.12506786137581
"521"	"CHRD"	7.12506786137581
"522"	"LINC02052"	7.12506786137581
"523"	"AHSG"	7.12506786137581
"524"	"TP63"	7.12506786137581
"525"	"AC026320.1"	7.12506786137581
"526"	"LINC02028"	7.12506786137581
"527"	"AC080129.2"	7.12506786137581
"528"	"LINC02036"	7.12506786137581
"529"	"AC069213.1"	7.12506786137581
"530"	"MUC20"	7.12506786137581
"531"	"SLC51A"	7.12506786137581
"532"	"AC011322.1"	7.12506786137581
"533"	"LINC02012"	7.12506786137581
"534"	"AC024560.1"	7.12506786137581
"535"	"AC147067.1"	7.12506786137581
"536"	"POLN"	7.12506786137581
"537"	"AL121750.1"	7.12506786137581
"538"	"MSANTD1"	7.12506786137581
"539"	"STX18-IT1"	7.12506786137581
"540"	"PPP2R2C"	7.12506786137581
"541"	"AC073648.7"	7.12506786137581
"542"	"AC105916.1"	7.12506786137581
"543"	"AC098829.1"	7.12506786137581
"544"	"BST1"	7.12506786137581
"545"	"FGFBP2"	7.12506786137581
"546"	"LDB2"	7.12506786137581
"547"	"AC104662.1"	7.12506786137581
"548"	"LINC02261"	7.12506786137581
"549"	"ARAP2"	7.12506786137581
"550"	"PTTG2"	7.12506786137581
"551"	"TLR10"	7.12506786137581
"552"	"AC108471.3"	7.12506786137581
"553"	"AC095057.4"	7.12506786137581
"554"	"LINC02265"	7.12506786137581
"555"	"RBM47"	7.12506786137581
"556"	"AC108210.1"	7.12506786137581
"557"	"AC106052.1"	7.12506786137581
"558"	"BEND4"	7.12506786137581
"559"	"LINC02475"	7.12506786137581
"560"	"AC095060.1"	7.12506786137581
